arCOG_name	locus_tag	E-value	score	arCOG_familiy	Gene_name	Description	HVO
arCOG02569	WP_004043098.1	2.5E-176	585.2	P	EriC	Chloride channel protein EriC	HVO_A0171
arCOG02579	WP_004044167.1	3.1E-28	96.3	R	-	Fe-S-cluster containining protein	HVO_0770
arCOG02595	WP_004041383.1	1.1E-33	113.2	T	OmpR	REC domain	---
arCOG02599	WP_004044656.1	3.8E-58	194.4	T	CheY	Rec domain	HVO_2838
arCOG02601	WP_004043667.1	2.1E-79	263.7	T	HalX	Rec domain fused to HalX domain	HVO_1271
arCOG02601	WP_004043581.1	9.6E-35	117.9	T	HalX	Rec domain fused to HalX domain	HVO_1358
arCOG02608	WP_004042285.1	2.3E-35	118.5	O	GrxC	Glutaredoxin	HVO_2396
arCOG02608	WP_004044584.1	6.4E-39	129.9	O	GrxC	Glutaredoxin	HVO_0337
arCOG02609	WP_004045367.1	7.1E-45	149	O	GrxC	Glutaredoxin	HVO_0251
arCOG02610	WP_013035540.1	5.2E-103	341.4	L	ScpA	Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family	HVO_0690
arCOG02611	WP_004043434.1	2.9E-110	365.5	K	-	Predicted transcriptional regulator, containd two HTH domains	HVO_1501
arCOG02620	WP_004040872.1	4.4E-115	382.7	C		4-Hydroxybutyryl-CoA synthetase (AMP-forming)	HVO_A0521
arCOG02625	WP_013035669.1	3.1E-18	64.1	R	-	Predicted metal-dependent hydrolase	HVO_C0027
arCOG02626	WP_013035494.1	4.1E-58	195	V	HsdS	Restriction endonuclease S subunit	HVO_2271
arCOG02632	WP_013035447.1	1E-266	884.7	V	HsdM	Type I restriction-modification system methyltransferase subunit	HVO_2275
arCOG02634	WP_013035257.1	1.5E-14	50.9	V	PglX	BREX/PGL system methylase subunit	HVO_2270
arCOG02635	WP_004043359.1	3.9E-91	304.3	V	-	Type II restriction enzyme, methylase subunit	HVO_A0079
arCOG02642	WP_004044686.1	3.4E-65	218	R	PerM	Predicted PurR-regulated permease PerM	HVO_2870
arCOG02642	WP_004045004.1	3.2E-30	103.1	R	PerM	Predicted PurR-regulated permease PerM	HVO_0023
arCOG02646	WP_004041952.1	1.3E-49	166.7	K	AcrR	Transcriptional regulator, TetR/AcrR family	HVO_2067
arCOG02646	WP_004040819.1	6.4E-56	187.3	K	AcrR	Transcriptional regulator, TetR/AcrR family	HVO_A0465
arCOG02646	WP_004043090.1	1.1E-59	199.6	K	AcrR	Transcriptional regulator, TetR/AcrR family	HVO_A0161
arCOG02646	WP_004040970.1	3.1E-48	162.2	K	AcrR	Transcriptional regulator, TetR/AcrR family	HVO_A0616
arCOG02646	WP_004042231.1	5.2E-71	236.5	K	AcrR	Transcriptional regulator, TetR/AcrR family	HVO_2341
arCOG02646	WP_004040894.1	6.7E-55	183.9	K	AcrR	Transcriptional regulator, TetR/AcrR family	HVO_A0545
arCOG02673	WP_004042456.1	1.7E-70	234.6	U	-	OxaA/SpoJ/YidC translocase/secretase, sec-independent itegration of nascent memrane proteins into membrane	HVO_2495
arCOG02673	WP_004043096.1	1.1E-64	215.6	U	-	OxaA/SpoJ/YidC translocase/secretase, sec-independent itegration of nascent memrane proteins into membrane	HVO_A0169
arCOG02675	WP_004042630.1	6.1E-122	404.1	H	Mch	Methenyltetrahydromethanopterin cyclohydrolase	HVO_2573
arCOG02676	WP_004044895.1	9.4E-46	152.3	E	HisI	Phosphoribosyl-AMP cyclohydrolase	HVO_2992
arCOG02677	WP_004044489.1	8E-36	119.8	E	HisI	Phosphoribosyl-ATP pyrophosphohydrolase	HVO_0435
arCOG02680	WP_004044621.1	0.0016	15.6	R	-	Uncharacterized archaeal Zn-finger protein	HVO_0302
arCOG02680	WP_004044446.1	2.9E-88	292.3	R	-	Uncharacterized archaeal Zn-finger protein	HVO_0476
arCOG02684	WP_004045384.1	0.067	9.7	G	-	MFS family permease	HVO_0264
arCOG02685	WP_004044387.1	1E-184	612.1	G	-	MFS family permease	HVO_0544
arCOG02686	WP_004042028.1	0.0012	15.4	G	-	MFS family permease	HVO_2146
arCOG02694	WP_004043915.1	7.9E-19	65.7	U	TatA	Sec-independent protein secretion pathway component	HVO_1027
arCOG02694	WP_004043779.1	1.5E-17	61.6	U	TatA	Sec-independent protein secretion pathway component	HVO_1162
arCOG02700	WP_004042676.1	1.1E-14	52	C	AceF	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component (C-terminal fragment)	HVO_2597
arCOG02700	WP_004044823.1	3.6E-214	710.2	C	AceF	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component (C-terminal fragment)	HVO_2960
arCOG02701	WP_004042270.1	1.8E-172	571.2	S	-	Uncharacterized protein	HVO_2381
arCOG02702	WP_004041412.1	4.5E-35	118.4	Q	-	SAM-dependent methyltransferase	HVO_1534
arCOG02702	WP_004043550.1	8E-36	120.9	Q	-	SAM-dependent methyltransferase	HVO_1389
arCOG02703	WP_004044272.1	2.7E-64	214.4	Q	-	SAM-dependent methyltransferase	HVO_0663
arCOG02705	WP_004043488.1	2.1E-239	792.9	I	-	Acetyl-CoA carboxylase, carboxyltransferase component	HVO_1447
arCOG02705	WP_004042406.1	1.3E-238	790.4	I	-	Acetyl-CoA carboxylase, carboxyltransferase component	HVO_2471
arCOG02706	WP_004040869.1	0.0000039	24.7	E	GloA	Lactoylglutathione lyase or related enzyme	HVO_A0518
arCOG02706	WP_004043563.1	5.8E-41	137.5	E	GloA	Lactoylglutathione lyase or related enzyme	HVO_1376
arCOG02708	WP_004045326.1	1.8E-17	62	E	GloA	Lactoylglutathione lyase or related enzyme	HVO_0212
arCOG02708	WP_013035603.1	2.2E-71	236.1	E	GloA	Lactoylglutathione lyase or related enzyme	HVO_0914
arCOG02709	WP_013035186.1	3.3E-20	70.9	E	GloA	Lactoylglutathione lyase or related enzyme	HVO_A0564
arCOG02709	WP_004040983.1	1.2E-49	166.3	E	GloA	Lactoylglutathione lyase or related enzyme	HVO_A0630
arCOG02712	WP_004043519.1	8.6E-93	308.3	R	-	Predicted permease	HVO_1417
arCOG02714	WP_004041815.1	1.6E-89	296.9	H	CofE	F(420)-0:gamma-glutamyl ligase, F420 coenzyme biosynthesis enzyme	HVO_1936
arCOG02721	WP_004044460.1	1.3E-157	523	C	CydA	Cytochrome bd-type quinol oxidase, subunit I	HVO_0462
arCOG02722	WP_004044193.1	1.4E-136	453.4	H	-	Glutamate-cysteine ligase family 2(GCS2)	HVO_0744
arCOG02722	WP_004041558.1	4E-123	409.1	H	-	Glutamate-cysteine ligase family 2(GCS2)	HVO_1668
arCOG02726	WP_004043888.1	1.5E-29	99.8	J	GatC	Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit	HVO_1053
arCOG02741	WP_013035563.1	4.2E-199	659.3	H	ThiC	Thiamine biosynthesis protein ThiC	HVO_2154
arCOG02742	WP_004044298.1	2.3E-104	347.3	R	-	Uncharacterized membrane anchored protein with extracellular vWF domain and Ig-like domain	HVO_0637
arCOG02744	WP_004041822.1	4.1E-80	267.5	S	-	Uncharacterized membrane anchored protein with extracellular vWF domain and Ig-like domain	HVO_1942
arCOG02745	WP_004043683.1	3E-106	352.3	S	-	Uncharacterized protein, DUF58 family, contains vWF domain	HVO_1256
arCOG02747	WP_004041911.1	0.035	11	S	-	Uncharacterized membrane anchored protein with extracellular vWF domain and Ig-like domain	HVO_2026
arCOG02747	WP_004042063.1	1.1E-70	236.8	S	-	Uncharacterized membrane anchored protein with extracellular vWF domain and Ig-like domain	HVO_2171
arCOG02749	WP_013035110.1	1.4E-28	97.1	K	-	Transcriptional regulator, TrmB family	HVO_A0251
arCOG02749	WP_004043397.1	0.00000014	29.4	K	-	Transcriptional regulator, TrmB family	HVO_A0042
arCOG02749	WP_004968172.1	1.8E-37	125.8	K	-	Transcriptional regulator, TrmB family	HVO_A0135
arCOG02751	WP_004043378.1	7.4E-71	236.7	X	-	Transposase, IS5 family	HVO_A0057
arCOG02751	WP_004043159.1	1.2E-67	226.1	X	-	Transposase, IS5 family	HVO_A0240
arCOG02751	WP_013035143.1	4.7E-68	227.5	X	-	Transposase, IS5 family	HVO_A0117
arCOG02751	WP_013035688.1	9.6E-58	193.6	X	-	Transposase, IS5 family	HVO_C0068
arCOG02756	WP_004062178.1	9.7E-49	162.3	K	-	Transcriptional regulator, contains HTH domain	HVO_A0418
arCOG02757	WP_004043127.1	5.2E-93	309.4	V	Cas7	CRISPR-Cas system related protein Cas7, RAMP superfamily	HVO_A0207
arCOG02758	WP_013035118.1	5E-50	168.5	V	Cas5	CRISPR-Cas system related protein Cas5, RAMP superfamily	HVO_A0208
arCOG02759	WP_004041293.1	1.4E-39	132.9	X	RAYT	REP element-mobilizing transposase RayT	HVO_B0242
arCOG02759	WP_004043788.1	1.3E-32	110.4	X	RAYT	REP element-mobilizing transposase RayT	HVO_1150
arCOG02761	WP_004044201.1	1.4E-47	158.7	S	-	Uncharacterized protein, DUF302 family	HVO_0736
arCOG02763	WP_004041636.1	4.3E-11	39.2	P	-	Heavy-metal-associated domain (HMA)	HVO_1753
arCOG02764	WP_004040978.1	2.8E-268	890.2	P	CopZ	Copper-ion-binding protein	HVO_A0624
arCOG02764	WP_004044005.1	5.2E-236	783.4	P	CopZ	Copper-ion-binding protein	HVO_0940
arCOG02766	WP_004041845.1	8.5E-56	186.8	E	-	Metal-dependent membrane protease, CAAX family	HVO_1966
arCOG02766	WP_004041878.1	1.2E-62	209.3	E	-	Metal-dependent membrane protease, CAAX family	HVO_1997
arCOG02769	WP_049914912.1	8.6E-15	52.8	E	-	Metal-dependent membrane protease, CAAX family	HVO_0160
arCOG02770	WP_004044153.1	3.9E-95	316.4	E	-	Metal-dependent membrane protease, CAAX family	HVO_0784
arCOG02771	WP_004040979.1	7.8E-172	569.9	S	-	Uncharacterized membrane protein	HVO_A0625
arCOG02773	WP_013035538.1	1E-46	156.8	K	-	HTH-domain containing transcriptional regulator	HVO_1780
arCOG02773	WP_004043296.1	4.5E-66	219.9	K	-	HTH-domain containing transcriptional regulator	HVO_A0397
arCOG02773	WP_004043411.1	1.9E-66	221.2	K	-	HTH-domain containing transcriptional regulator	HVO_A0027
arCOG02775	WP_004043293.1	2.8E-62	207.5	K	ArsR	Transcriptional regulator containing HTH domain, ArsR family	HVO_A0394
arCOG02776	WP_004041617.1	7.4E-74	245.2	K	ArsR	Transcriptional regulator containing HTH domain, ArsR family	HVO_1733
arCOG02776	WP_004043162.1	1.7E-65	217.9	K	ArsR	Transcriptional regulator containing HTH domain, ArsR family	HVO_A0245
arCOG02782	WP_004044133.1	8.8E-27	91.8	V	-	Endonuclease, HJR/Mrr/RecB family	HVO_0803
arCOG02782	WP_013035233.1	1.2E-28	98	V	-	Endonuclease, HJR/Mrr/RecB family	HVO_0682
arCOG02783	WP_004043364.1	5.9E-110	364.1	O	SRAP	Putative SOS response-associated peptidase YedK	HVO_A0071
arCOG02784	WP_004041508.1	1.7E-105	349.5	O	SRAP	Putative SOS response-associated peptidase YedK	HVO_1616
arCOG02785	WP_004041932.1	1.6E-283	937.4	P	-	Arylsulfatase A or related enzyme	HVO_2046
arCOG02787	WP_004045110.1	6.9E-169	560.9	P	-	Arylsulfatase A or related enzyme	HVO_0069
arCOG02787	WP_013034978.1	8.4E-30	102.5	P	-	Arylsulfatase A or related enzyme	HVO_B0086
arCOG02796	WP_004043936.1	1.1E-123	410.8	G	-	Glucose/sorbosone dehydrogenase	HVO_1007
arCOG02797	WP_004044109.1	5E-25	85.3	S	-	Uncharacterized protein	HVO_0827
arCOG02798	WP_004041114.1	8.4E-72	238.9	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_B0040
arCOG02798	WP_004041283.1	3.2E-56	187.8	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_B0255
arCOG02798	WP_004043255.1	2.4E-72	240.6	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_A0342
arCOG02798	WP_004042013.1	2.6E-73	243.8	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_2130
arCOG02798	WP_004041333.1	6.5E-59	196.6	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_B0201
arCOG02798	WP_004041222.1	7.1E-59	196.5	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_B0320
arCOG02798	WP_004041223.1	2.4E-72	240.7	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_B0319
arCOG02798	WP_004041054.1	1.4E-69	231.6	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_B0101
arCOG02798	WP_004043195.1	4E-56	187.5	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_A0280
arCOG02798	WP_004971318.1	6.5E-65	216.3	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_C0076
arCOG02798	WP_004041042.1	1.2E-68	228.5	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_B0114
arCOG02798	WP_004043245.1	9.6E-61	202.6	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_A0332
arCOG02798	WP_004041991.1	7.1E-76	252.2	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_2108
arCOG02798	WP_004041993.1	6.3E-67	222.9	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_2110
arCOG02798	WP_004040877.1	2.7E-73	243.7	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_A0527
arCOG02798	WP_013035208.1	1E-54	182.9	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_A0082
arCOG02798	WP_004040941.1	4.9E-65	216.7	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_A0583
arCOG02798	WP_004043348.1	1.5E-47	159.4	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_A0093
arCOG02798	WP_004044329.1	1.6E-68	228.1	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_0605
arCOG02798	WP_004041976.1	4.5E-73	243	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_2092
arCOG02798	WP_004043181.1	1.1E-55	186	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_A0266
arCOG02798	WP_004041037.1	2E-67	224.5	K	IclR	DNA-binding transcriptional regulator, IclR family	HVO_B0119
arCOG02801	WP_004040813.1	2.1E-34	117	S	-	Uncharacterized protein	HVO_A0459
arCOG02804	WP_004042066.1	4.5E-65	216.8	S	-	Uncharacterized protein	HVO_2174
arCOG02804	WP_004043106.1	1.9E-70	234.4	S	-	Uncharacterized protein	HVO_A0179
arCOG02804	WP_004041039.1	1.9E-70	234.3	S	-	Uncharacterized protein	HVO_B0117
arCOG02804	WP_004041361.1	1.6E-67	224.9	S	-	Uncharacterized protein	HVO_B0174
arCOG02805	WP_004041237.1	1.5E-136	453.2	F	UraA	Xanthine/uracil permease	HVO_B0303
arCOG02805	WP_004042137.1	4.7E-142	471.3	F	UraA	Xanthine/uracil permease	HVO_2249
arCOG02805	WP_004043715.1	1.7E-188	624.4	F	UraA	Xanthine/uracil permease	HVO_1227
arCOG02806	WP_004042222.1	2.9E-96	320.7	P	SUL1	Sulfate permease or related transporter (MFS superfamily)	HVO_2330
arCOG02807	WP_004044586.1	1.1E-179	595.6	F	AzgA	Xanthine/uracil/vitamin C permease, AzgA family	HVO_0335
arCOG02808	WP_004044136.1	0.000000016	32	K	-	Transcriptional regulator, contains HTH domain	HVO_0800
arCOG02808	WP_004041261.1	2.6E-83	277.3	K	-	Transcriptional regulator, contains HTH domain	HVO_B0277
arCOG02808	WP_049914845.1	7.8E-31	105.2	K	-	Transcriptional regulator, contains HTH domain	HVO_A0261
arCOG02809	WP_004042849.1	1.5E-50	169.9	K	-	Transcriptional regulator, contains HTH domain	HVO_2681
arCOG02809	WP_004043227.1	2E-63	212	K	-	Transcriptional regulator, contains HTH domain	HVO_A0312
arCOG02809	WP_004042765.1	1.3E-72	242.2	K	-	Transcriptional regulator, contains HTH domain	HVO_2644
arCOG02809	WP_004041589.1	2.5E-62	208.4	K	-	Transcriptional regulator, contains HTH domain	HVO_1700
arCOG02814	WP_013035648.1	3.6E-136	452.5	Q	CypX	Cytochrome P450	HVO_1558
arCOG02814	WP_004045041.1	4.2E-170	564.4	Q	CypX	Cytochrome P450	HVO_0038
arCOG02815	WP_004042123.1	3.9E-53	178.5	O	-	Conserved domain frequently associated with peptide methionine sulfoxide reductase	HVO_2234
arCOG02816	WP_004043149.1	1.6E-78	260.2	O	MsrA	Peptide methionine sulfoxide reductase	HVO_A0230
arCOG02820	WP_004043850.1	7.3E-167	553.1	M	MurE	UDP-N-acetylmuramyl tripeptide synthase	HVO_1088
arCOG02824	WP_004043853.1	4.9E-205	679.8	F	PurH	AICAR transformylase/IMP cyclohydrolase PurH	HVO_1085
arCOG02826	WP_004042083.1	9.5E-164	541.8	F	PurU	Formyltetrahydrofolate hydrolase	HVO_2191
arCOG02827	WP_004041900.1	0.000000001	35.8	S	-	Uncharacterized membrane protein	HVO_2016
arCOG02827	WP_004044198.1	1.4E-122	406.3	S	-	Uncharacterized membrane protein	HVO_0739
arCOG02828	WP_004042760.1	1.4E-116	386.8	R	-	NAD dependent epimerase/dehydratase family	HVO_2639
arCOG02828	WP_004041395.1	3.8E-99	329.5	R	-	NAD dependent epimerase/dehydratase family	HVO_A0430
arCOG02829	WP_004044427.1	1.1E-51	174.4	S	-	Uncharacterized protein	HVO_0494
arCOG02830	WP_004042110.1	9.2E-45	151.5	S	-	Uncharacterized protein	HVO_2221
arCOG02832	WP_004042854.1	1E-129	431.2	F	UshA	5'-nucleotidase/2',3'-cyclic phosphodiesterase or related esterase	HVO_2683
arCOG02834	WP_004041752.1	1.5E-156	519.9	O	RseP	Membrane-associated protease RseP, regulator of RpoE activity in bacteria	HVO_1870
arCOG02835	WP_004042518.1	3.1E-127	421	S	-	Uncharacterized membrane protein YcaP, DUF422 family	HVO_2526
arCOG02836	WP_004063282.1	1.7E-22	77.2	V	NikR	Transcriptional regulator, CopG/Arc/MetJ family (DNA-binding and a metal-binding domains)	HVO_1515
arCOG02839	WP_004043708.1	1.4E-202	671.7	R	-	Uncharacterized protein related to deoxyribodipyrimidine photolyase	HVO_1234
arCOG02840	WP_004044731.1	7.6E-193	639.7	L	PhrB	Deoxyribodipyrimidine photolyase	HVO_2911
arCOG02840	WP_004044662.1	2.1E-146	486.6	L	PhrB	Deoxyribodipyrimidine photolyase	HVO_2843
arCOG02841	WP_004045244.1	0.00096	15.4	V	MdlB	ABC-type multidrug transport system, ATPase and permease component	HVO_0132
arCOG02841	WP_004044417.1	2.7E-190	631.3	V	MdlB	ABC-type multidrug transport system, ATPase and permease component	HVO_0506
arCOG02842	WP_004043453.1	4.4E-33	111.4	C	Fdx	Ferredoxin	HVO_1482
arCOG02843	WP_013035390.1	4.8E-82	272.1	C	Fdx	Ferredoxin	HVO_1831
arCOG02844	WP_004044900.1	6.3E-56	187.4	C	Fdx	Ferredoxin	HVO_2995
arCOG02844	WP_004041645.1	1E-31	108	C	Fdx	Ferredoxin	HVO_1762
arCOG02847	WP_013035511.1	1.1E-87	291	O	CbpA	DnaJ-class molecular chaperone	HVO_0814
arCOG02848	WP_004042637.1	7.1E-55	183.8	O	CbpA	DnaJ-class molecular chaperone	HVO_2576
arCOG02849	WP_004044213.1	2.3E-86	288	P	ArsA	Oxyanion-translocating ATPase	HVO_0724
arCOG02849	WP_004044857.1	1.8E-67	225.8	P	ArsA	Oxyanion-translocating ATPase	HVO_2977
arCOG02851	WP_004044229.1	8.3E-52	172.6	P	{NirD}	Ferredoxin subunit of nitrite reductase or ring-hydroxylating dioxygenase	HVO_0707
arCOG02851	WP_004044019.1	2.9E-45	151.4	P	{NirD}	Ferredoxin subunit of nitrite reductase or ring-hydroxylating dioxygenase	HVO_0920
arCOG02852	WP_004043357.1	8.1E-28	94.8	P	{NirD}	Ferredoxin subunit of nitrite reductase or ring-hydroxylating dioxygenase	HVO_A0083
arCOG02860	WP_004043993.1	5.8E-53	177.4	P	CynT	Carbonic anhydrase	HVO_0952
arCOG02861	WP_049914886.1	7.4E-55	183.4	S	-	Predicted membrane protein, DoxD family	HVO_0917
arCOG02861	WP_004041640.1	1.9E-60	201.6	S	-	Predicted membrane protein, DoxD family	HVO_1757
arCOG02861	WP_049941502.1	3.7E-63	210.4	S	-	Predicted membrane protein, DoxD family	HVO_0763
arCOG02861	WP_049941497.1	1.4E-63	211.7	S	-	Predicted membrane protein, DoxD family	HVO_A0548
arCOG02864	WP_004042923.1	3.3E-74	246.5	S	-	Uncharacterized membrane protein YozB, DUF420 family	HVO_2720
arCOG02865	WP_004044411.1	0.00073	16.9	S	-	Uncharacterized membrane protein YozB, DUF420 family	HVO_0512
arCOG02865	WP_004044113.1	8.4E-84	278	S	-	Uncharacterized membrane protein YozB, DUF420 family	HVO_0823
arCOG02866	WP_004043755.1	2.7E-26	89.1	S	-	Uncharacterized protein	HVO_1186
arCOG02866	WP_013035508.1	3.4E-40	133.7	S	-	Uncharacterized protein	HVO_1863
arCOG02867	WP_004044137.1	1.5E-35	119.1	S	-	Uncharacterized protein	HVO_0799
arCOG02868	WP_004043696.1	3.9E-56	187.9	O	DsbG	Protein-disulfide isomerase	HVO_1245
arCOG02869	WP_004042667.1	3.4E-69	231.1	Q	FrnE	Predicted dithiol-disulfide isomerase involved in polyketide biosynthesis	HVO_2592
arCOG02874	WP_004043765.1	1.1E-66	222.5	S	-	Uncharacterized membrane protein	HVO_1176
arCOG02876	WP_049914847.1	9.3E-61	202.9	G	CDA1	Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family	HVO_A0301
arCOG02876	WP_004041030.1	2E-32	110	G	CDA1	Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family	HVO_B0126
arCOG02877	WP_004043142.1	1.4E-113	377.3	G	CDA1	Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family	HVO_A0221
arCOG02879	WP_013035430.1	8.4E-16	55.7	S	-	Uncharacterized membrane protein, DUF4013 family	HVO_0679
arCOG02879	WP_013035546.1	4.4E-43	144.8	S	-	Uncharacterized membrane protein, DUF4013 family	HVO_2882
arCOG02879	WP_004044698.1	2.8E-28	96.5	S	-	Uncharacterized membrane protein, DUF4013 family	HVO_2881
arCOG02881	WP_004044222.1	2.8E-68	227.9	P	ECM27	Ca2+/Na+ antiporter	HVO_0715
arCOG02881	WP_004042038.1	3.8E-59	197.9	P	ECM27	Ca2+/Na+ antiporter	HVO_2155
arCOG02881	WP_004044223.1	2.7E-57	191.8	P	ECM27	Ca2+/Na+ antiporter	HVO_0714
arCOG02881	WP_004042244.1	5.8E-58	194	P	ECM27	Ca2+/Na+ antiporter	HVO_2355
arCOG02882	WP_004044676.1	3.4E-159	527.8	J	YcaO	Ribosomal protein S12 methylthiotransferase accessory factor YcaO	HVO_2860
arCOG02884	WP_004042065.1	8.9E-70	232.9	S	-	Membrane associated protein with extracellular Ig-like domain, a component of a putative secretion system	HVO_2173
arCOG02884	WP_049914838.1	2.1E-48	162.8	S	-	Membrane associated protein with extracellular Ig-like domain, a component of a putative secretion system	HVO_A0195
arCOG02888	WP_004044670.1	1E-105	351	E	AstE	Succinylglutamate desuccinylase	HVO_2852
arCOG02890	WP_004044453.1	0.000024	21.5	R	-	Predicted deacylase	HVO_0469
arCOG02890	WP_004043054.1	1.1E-13	48.8	R	-	Predicted deacylase	HVO_2812
arCOG02890	WP_004042114.1	2.9E-09	34.3	R	-	Predicted deacylase	HVO_2225
arCOG02891	WP_004044667.1	0	1158	T	PrkA	Predicted Ser/Thr protein kinase	HVO_2849
arCOG02892	WP_013035476.1	0	1127.8	T	PrkA	Predicted Ser/Thr protein kinase	HVO_2848
arCOG02893	WP_013035451.1	4E-37	123.9	S	-	Uncharacterized protein	HVO_0387
arCOG02894	WP_004044682.1	1.1E-30	102.9	S	-	Uncharacterized protein	HVO_2866
arCOG02895	WP_004043585.1	4.5E-181	601.7	L	MutS2	DNA structure-specific ATPase involved in suppression of recombination, MutS family	HVO_1354
arCOG02895	WP_004045305.1	6.9E-251	832.4	L	MutS2	DNA structure-specific ATPase involved in suppression of recombination, MutS family	HVO_0191
arCOG02896	WP_004044379.1	0	1455	L	MutS	Mismatch repair ATPase (MutS family)	HVO_0552
arCOG02897	WP_004041820.1	0	1270.7	L	MutS	Mismatch repair ATPase (MutS family)	HVO_1940
arCOG02899	WP_004043882.1	2.4E-65	217.6	R	-	Polyketide cyclase/dehydrase family protein involved in binding/transport of lipids	HVO_1059
arCOG02905	WP_004043678.1	2.1E-183	608.4	R	-	vWFA domain containing protein	HVO_1261
arCOG02907	WP_004043679.1	1E-234	778.9	R	-	vWFA domain containing protein	HVO_1260
arCOG02909	WP_004040948.1	4.1E-86	286.5	T	-	Predicted sensor protein, contains DICT domain	HVO_A0591
arCOG02910	WP_004042077.1	8.8E-100	330.8	T	-	Predicted sensor protein, contains DICT domain	HVO_2186
arCOG02911	WP_004043786.1	2.4E-15	54.6	N	-	Predicted pilin/flagellin	HVO_1154
arCOG02911	WP_004044316.1	1.6E-13	48.7	N	-	Predicted pilin/flagellin	HVO_0618
arCOG02911	WP_049914876.1	1.4E-32	110.6	N	-	Predicted pilin/flagellin	HVO_1153
arCOG02916	WP_004042277.1	2.3E-91	304.8	N	-	Predicted pilin/flagellin	HVO_2388
arCOG02916	WP_004042307.1	2.8E-125	416.7	N	-	Predicted pilin/flagellin	HVO_2418
arCOG02916	WP_004042276.1	7.8E-101	336.1	N	-	Predicted pilin/flagellin	HVO_2387
arCOG02917	WP_004043793.1	1E-52	175.7	C	PetE	Plastocyanin/azurin/halocyanin family protein	HVO_1144
arCOG02918	WP_004042789.1	3E-42	142.9	C	PetE	Plastocyanin/azurin/halocyanin family protein	HVO_2657
arCOG02919	WP_013035267.1	2.9E-224	743.5	C	PetE	Plastocyanin/azurin/halocyanin family protein	HVO_1228
arCOG02921	WP_004042033.1	3.2E-120	397.1	C	PetE	Plastocyanin/azurin/halocyanin family protein	HVO_2150
arCOG02921	WP_004044092.1	6.3E-61	203.5	C	PetE	Plastocyanin/azurin/halocyanin family protein	HVO_0844
arCOG02921	WP_004044111.1	2E-56	188.8	C	PetE	Plastocyanin/azurin/halocyanin family protein	HVO_0825
arCOG02921	WP_004042027.1	1.7E-62	208.7	C	PetE	Plastocyanin/azurin/halocyanin family protein	HVO_2145
arCOG02921	WP_004043818.1	2.4E-64	214.7	C	PetE	Plastocyanin/azurin/halocyanin family protein	HVO_1119
arCOG02935	WP_004040823.1	1.3E-66	223.1	R	-	Pirin-related protein	HVO_A0469
arCOG02936	WP_013035444.1	3E-105	349.5	I	ERG9	Phytoene/squalene synthetase	HVO_1139
arCOG02936	WP_004042512.1	1.2E-120	400.1	I	ERG9	Phytoene/squalene synthetase	HVO_2524
arCOG02937	WP_004043526.1	4.6E-132	437.8	I	MVD1	Mevalonate pyrophosphate decarboxylase	HVO_1412
arCOG02939	WP_004042202.1	2.3E-36	121.3	H	PhhB	Pterin-4a-carbinolamine dehydratase	HVO_2309
arCOG02940	WP_004042225.1	2.1E-88	293.4	S	-	Uncharacterized membrane protein, DUF1405 family	HVO_2335
arCOG02940	WP_004042494.1	7.2E-61	203.2	S	-	Uncharacterized membrane protein, DUF1405 family	HVO_2515
arCOG02941	WP_004042333.1	1.9E-96	319.7	L	RnhA	Ribonuclease HI	HVO_2438
arCOG02942	WP_004040817.1	8.2E-50	166.2	L	RnhA	Ribonuclease HI	HVO_A0463
arCOG02942	WP_004044205.1	2.5E-52	174.4	L	RnhA	Ribonuclease HI	HVO_0732
arCOG02945	WP_004044184.1	2.1E-237	789.1	N	-	Surface protein, possibly associated with type IV pili like system	HVO_0753
