locus_tag	dbxref	ncbi_id	genomic_accession	feature	start	stop	strand	gene	gbkey	gene_biotype	old_locus_tag	length	protein	thane_gene	thane_gene_description	gene_name	kegg1	kegg2	kegg3	pathway	kegg_prot	kegg_id	definition	keggidprot	Gene.Name	Species	EC_NUMBER	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OFFICIAL_GENE_SYMBOL	PFAM	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	cog	arcog	chr
HVO_RS10420	8924828	lcl|NC_013967.1_cds_WP_004043751.1_2209	NC_013967.1	gene	1082548	1083267	+	2231	Gene	protein_coding	HVO_1190	719	transcriptional regulator			boa3	NA	NA	NA	NA	NA	NA	NA	NA: NA	transcriptional regulator(HVO_RS10420)	Haloferax volcanii DS2		GO:0006352~DNA-templated transcription, initiation		GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0016987~sigma factor activity	IPR007050:Transcription regulator HTH, bacterioopsin,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR013324:RNA polymerase sigma factor, region 3/4		HVO_RS10420	PF04967:HTH DNA binding domain			Complete proteome,Reference proteome,	COG3413R	arCOG02274	Chromosome
HVO_RS10425	8924227	lcl|NC_013967.1_cds_WP_004043750.1_2210	NC_013967.1	gene	1083296	1084135	-	2232	Gene	protein_coding	HVO_1191	839	proline dehydrogenase			fadM2	NA	NA	NA	NA	NA	NA	NA	NA: NA	proline dehydrogenase(HVO_RS10425)	Haloferax volcanii DS2	1.5.99.8	GO:0010133~proline catabolic process to glutamate		GO:0004657~proline dehydrogenase activity	IPR002872:Proline dehydrogenase,IPR008219:Proline dehydrogenase, predicted		HVO_RS10425	PF01619:Proline dehydrogenase	PIRSF000196:proline dehydrogenase		Complete proteome,Oxidoreductase,Reference proteome,	COG0506E	arCOG06322	Chromosome
HVO_RS10430	8924757	lcl|NC_013967.1_cds_WP_004043749.1_2211	NC_013967.1	gene	1084392	1085606	+	2233	Gene	protein_coding	HVO_1192	1214	ABC transporter substrate-binding protein			livJ2	Environmental Information Processing	Membrane transport	02010 ABC transporters 	[PATH:hvo02010]	livJ2; ABC-type transport system periplasmic substrate-binding protein (probable substrate branched-chain amino acids)	K01999	livK; branched-chain amino acid transport system substrate-binding protein	K01999: livJ2; ABC-type transport system periplasmic substrate-binding protein (probable substrate branched-chain amino acids)	ABC transporter substrate-binding protein(HVO_RS10430)	Haloferax volcanii DS2						hvo02010:ABC transporters	HVO_RS10430	PF13458:Periplasmic binding protein			Complete proteome,Reference proteome,	COG0683E	arCOG01021	Chromosome
HVO_RS10435	8925425	lcl|NC_013967.1_cds_WP_081442895.1_2212	NC_013967.1	gene	1085626	1086186	+	2234	Gene	protein_coding	HVO_1193	560	branched-chain amino acid ABC transporter permease			livH2	Environmental Information Processing	Membrane transport	02010 ABC transporters 	[PATH:hvo02010]	livH2; ABC-type transport system permease protein (probable substrate branched-chain amino acids)	K01997	livH; branched-chain amino acid transport system permease protein	K01997: livH2; ABC-type transport system permease protein (probable substrate branched-chain amino acids)	pseudo(HVO_RS10435)	Haloferax volcanii DS2						hvo02010:ABC transporters	HVO_RS10435,					COG0559E	arCOG01269	Chromosome
HVO_RS10440	8924558	lcl|NC_013967.1_cds_WP_004043747.1_2213	NC_013967.1	gene	1086183	1087307	+	2235	Gene	protein_coding	HVO_1194	1124	branched-chain amino acid ABC transporter permease			livM2	Environmental Information Processing	Cellular community - prokaryotes	02024 Quorum sensing 	[PATH:hvo02024]	livM2; ABC-type transport system permease protein (probable substrate branched-chain amino acids)	K01998	livM; branched-chain amino acid transport system permease protein	K01998: livM2; ABC-type transport system permease protein (probable substrate branched-chain amino acids)	branched-chain amino acid ABC transporter permease(HVO_RS10440)	Haloferax volcanii DS2			GO:0016021~integral component of membrane	GO:0005215~transporter activity	IPR001851:ABC transporter, permease	hvo02010:ABC transporters	HVO_RS10440	PF02653:Branched-chain amino acid transport system / permease component			Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,	COG4177E	arCOG01273	Chromosome
HVO_RS10445	8925225	lcl|NC_013967.1_cds_WP_004043746.1_2214	NC_013967.1	gene	1087304	1088110	+	2236	Gene	protein_coding	HVO_1195	806	ABC transporter ATP-binding protein			livG2	Environmental Information Processing	Cellular community - prokaryotes	02024 Quorum sensing 	[PATH:hvo02024]	livG2; ABC-type transport system ATP-binding protein (probable substrate branched-chain amino acids)	K01995	livG; branched-chain amino acid transport system ATP-binding protein	K01995: livG2; ABC-type transport system ATP-binding protein (probable substrate branched-chain amino acids)	ABC transporter ATP-binding protein(HVO_RS10445)	Haloferax volcanii DS2				GO:0005524~ATP binding,GO:0016887~ATPase activity	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase	hvo02010:ABC transporters	HVO_RS10445	PF00005:ABC transporter,PF12399:Branched-chain amino acid ATP-binding cassette transporter		SM00382:AAA	ATP-binding,Complete proteome,Nucleotide-binding,Reference proteome,	COG0411E	arCOG00925	Chromosome
HVO_RS10450	8925857	lcl|NC_013967.1_cds_WP_004043745.1_2215	NC_013967.1	gene	1088107	1088844	+	2237	Gene	protein_coding	HVO_1196	737	ABC transporter ATP-binding protein			livF2	Environmental Information Processing	Membrane transport	02010 ABC transporters 	[PATH:hvo02010]	livF2; ABC-type transport system ATP-binding protein (probable substrate branched-chain amino acids)	K01996	livF; branched-chain amino acid transport system ATP-binding protein	K01996: livF2; ABC-type transport system ATP-binding protein (probable substrate branched-chain amino acids)	ABC transporter ATP-binding protein(HVO_RS10450)	Haloferax volcanii DS2				GO:0005524~ATP binding,GO:0016887~ATPase activity	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase	hvo02010:ABC transporters	HVO_RS10450	PF00005:ABC transporter		SM00382:AAA	ATP-binding,Complete proteome,Nucleotide-binding,Reference proteome,	COG0410E	arCOG00924	Chromosome
HVO_RS10455	8926512	lcl|NC_013967.1_cds_WP_004043744.1_2216	NC_013967.1	gene	1088887	1089684	-	2238	Gene	protein_coding	HVO_1197	797	aminoglycoside phosphotransferase				NA	NA	NA	NA	NA	NA	NA	NA: NA	aminoglycoside phosphotransferase(HVO_RS10455)	Haloferax volcanii DS2					IPR011009:Protein kinase-like domain		HVO_RS10455				Complete proteome,Reference proteome,	COG3642T	arCOG01190	Chromosome
HVO_RS10460	8924223	lcl|NC_013967.1_cds_WP_004043743.1_2217	NC_013967.1	gene	1089724	1090161	-	2239	Gene	protein_coding	HVO_1198	437	universal stress protein UspA				NA	NA	NA	NA	NA	NA	NA	NA: NA	universal stress protein UspA(HVO_RS10460)	Haloferax volcanii DS2		GO:0006950~response to stress			IPR006015:Universal stress protein A,IPR006016:UspA,IPR014729:Rossmann-like alpha/beta/alpha sandwich fold		HVO_RS10460	PF00582:Universal stress protein family	PIRSF006276:universal stress protein A		Complete proteome,Reference proteome,	COG0589T	arCOG02053	Chromosome
HVO_RS10465	8924060	lcl|NC_013967.1_cds_WP_004043742.1_2218	NC_013967.1	gene	1090314	1091456	+	2240	Gene	protein_coding	HVO_1199	1142	acyl-CoA dehydrogenase			acd3	NA	NA	NA	NA	NA	NA	NA	NA: NA	acyl-CoA dehydrogenase(HVO_RS10465)	Haloferax volcanii DS2	1.3.8.-			GO:0003995~acyl-CoA dehydrogenase activity,GO:0050660~flavin adenine dinucleotide binding	IPR006089:Acyl-CoA dehydrogenase, conserved site,IPR006091:Acyl-CoA oxidase/dehydrogenase, central domain,IPR009075:Acyl-CoA dehydrogenase/oxidase C-terminal,IPR009100:Acyl-CoA dehydrogenase/oxidase,IPR013786:Acyl-CoA dehydrogenase/oxidase, N-terminal		HVO_RS10465	PF00441:Acyl-CoA dehydrogenase, C-terminal domain,PF02770:Acyl-CoA dehydrogenase, middle domain,PF02771:Acyl-CoA dehydrogenase, N-terminal domain			Complete proteome,FAD,Flavoprotein,Oxidoreductase,Reference proteome,	COG1960I	arCOG01709	Chromosome
HVO_RS10470	8925083	lcl|NC_013967.1_cds_WP_004043741.1_2219	NC_013967.1	gene	1091481	1091936	-	2241	Gene	protein_coding	HVO_1200	455	fla cluster protein FlaD2			flaD2	NA	NA	NA	NA	NA	NA	NA	NA: NA	fla cluster protein FlaD2(HVO_RS10470)	Haloferax volcanii DS2		GO:0097588~archaeal or bacterial-type flagellum-dependent cell motility			IPR006752:Archaeal flagella protein		HVO_RS10470	PF04659:Archaeal flagella protein 			Complete proteome,Reference proteome,	COG3351N	arCOG02964	Chromosome
HVO_RS10475	8923999	lcl|NC_013967.1_cds_WP_004043740.1_2220	NC_013967.1	gene	1092259	1094385	+	2242	Gene	protein_coding	HVO_1201	2126	PAS domain-containing sensor histidine kinase				NA	NA	NA	NA	NA	NA	NA	NA: NA	PAS domain-containing sensor histidine kinase(HVO_RS10475)	Haloferax volcanii DS2	2.7.13.3	GO:0006355~regulation of transcription, DNA-templated	GO:0005622~intracellular,GO:0016021~integral component of membrane	GO:0000155~phosphorelay sensor kinase activity	IPR000014:PAS domain,IPR000700:PAS-associated, C-terminal,IPR003594:Histidine kinase-like ATPase, ATP-binding domain,IPR003661:Signal transduction histidine kinase, subgroup 1, dimerisation/phosphoacceptor domain,IPR005467:Signal transduction histidine kinase, core,IPR013655:PAS fold-3,IPR013767:PAS fold		HVO_RS10475	PF00989:PAS fold,PF02518:Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase,PF08447:PAS fold		SM00091:PAS,SM00387:HATPase_c,SM00388:HisKA	Complete proteome,Kinase,Membrane,Reference proteome,Transferase,Transmembrane,Transmembrane helix,	COG2205T	arCOG02327	Chromosome
HVO_RS10480	8926260	lcl|NC_013967.1_cds_WP_004043739.1_2221	NC_013967.1	gene	1094484	1095581	-	2243	Gene	protein_coding	HVO_1202	1097	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS10480)	Haloferax volcanii DS2							HVO_RS10480				Complete proteome,Reference proteome,	-	arCOG04656	Chromosome
HVO_RS10485	8924680	lcl|NC_013967.1_cds_WP_004043738.1_2222	NC_013967.1	gene	1095684	1096214	-	2244	Gene	protein_coding	HVO_1203	530	fla cluster protein FlaD1			flaD1	NA	NA	NA	NA	NA	NA	NA	NA: NA	fla cluster protein FlaD1(HVO_RS10485)	Haloferax volcanii DS2		GO:0097588~archaeal or bacterial-type flagellum-dependent cell motility			IPR006752:Archaeal flagella protein		HVO_RS10485	PF04659:Archaeal flagella protein 			Complete proteome,Reference proteome,	COG3351N	arCOG02964	Chromosome
HVO_RS10490	8925937	lcl|NC_013967.1_cds_WP_004043737.1_2223	NC_013967.1	gene	1096507	1097016	-	2245	Gene	protein_coding	HVO_1205	509	chemotaxis protein CheD			cheD	Environmental Information Processing	Cell motility	02030 Bacterial chemotaxis 	[PATH:hvo02030]	cheD; taxis cluster protein CheD	K03411	cheD; chemotaxis protein CheD [EC:3.5.1.44]	K03411: cheD; taxis cluster protein CheD	chemotaxis protein CheD(HVO_RS10490)	Haloferax volcanii DS2	3.5.1.44	GO:0006935~chemotaxis		GO:0050568~protein-glutamine glutaminase activity	IPR005659:Chemoreceptor glutamine deamidase CheD,IPR011324:Cytotoxic necrotizing factor-like, catalytic	hvo02030:Bacterial chemotaxis	HVO_RS10490	PF03975:CheD chemotactic sensory transduction			Chemotaxis,Complete proteome,Hydrolase,Reference proteome,	COG1871NT	arCOG02380	Chromosome
HVO_RS10495	8925534	lcl|NC_013967.1_cds_WP_004043736.1_2224	NC_013967.1	gene	1097038	1098225	-	2246	Gene	protein_coding	HVO_1206	1187	chemotaxis protein CheC			cheC	Environmental Information Processing	Cell motility	02030 Bacterial chemotaxis 	[PATH:hvo02030]	cheC; taxis cluster protein CheC	K03410	cheC; chemotaxis protein CheC	K03410: cheC; taxis cluster protein CheC	chemotaxis protein CheC(HVO_RS10495)	Haloferax volcanii DS2				GO:0016787~hydrolase activity	IPR007597:CheC-like protein	hvo02030:Bacterial chemotaxis	HVO_RS10495	PF04509:CheC-like family,PF13690:Chemotaxis phosphatase CheX			Complete proteome,Reference proteome,	COG1776NT	arCOG02381	Chromosome
HVO_RS10500	8925344	lcl|NC_013967.1_cds_WP_004043735.1_2225	NC_013967.1	gene	1098222	1098590	-	2247	Gene	protein_coding	HVO_1207	368	response regulator			cheY	Environmental Information Processing	Cell motility	02030 Bacterial chemotaxis 	[PATH:hvo02030]	cheY; response regulator CheY	K03413	cheY; two-component system, chemotaxis family, chemotaxis protein CheY	K03413: cheY; response regulator CheY	response regulator(HVO_RS10500)	Haloferax volcanii DS2		GO:0000160~phosphorelay signal transduction system	GO:0005622~intracellular		IPR001789:Signal transduction response regulator, receiver domain,IPR011006:CheY-like superfamily	hvo02020:Two-component system,hvo02030:Bacterial chemotaxis	HVO_RS10500	PF00072:Response regulator receiver domain		SM00448:REC	Complete proteome,Reference proteome,	COG2204T	arCOG02391	Chromosome
HVO_RS10505	8924450	lcl|NC_013967.1_cds_WP_004043734.1_2226	NC_013967.1	gene	1098739	1099401	-	2248	Gene	protein_coding	HVO_1208	662	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS10505)	Haloferax volcanii DS2							HVO_RS10505				Complete proteome,Reference proteome,	-	arCOG04698	Chromosome
HVO_RS10510	8926348	lcl|NC_013967.1_cds_WP_004043733.1_2227	NC_013967.1	gene	1099534	1099872	+	2249	Gene	protein_coding	HVO_1209	338	transcriptional regulator				NA	NA	NA	NA	NA	NA	NA	NA: NA	transcriptional regulator(HVO_RS10510)	Haloferax volcanii DS2					IPR011991:Winged helix-turn-helix DNA-binding domain		HVO_RS10510	PF12840:Helix-turn-helix domain			Complete proteome,Reference proteome,	-	arCOG03067	Chromosome
HVO_RS10515	8924829	lcl|NC_013967.1_cds_WP_004043732.1_2228	NC_013967.1	gene	1100086	1100727	+	2250	Gene	protein_coding	HVO_1210	641	flagellin			flgA1	NA	NA	NA	NA	NA	NA	NA	NA: NA	flagellin(HVO_RS10515)	Haloferax volcanii DS2			GO:0009288~bacterial-type flagellum,GO:0097589~archaeal-type flagellum	GO:0005198~structural molecule activity	IPR002774:Flagellin, archaea,IPR013373:Archaeal flagellin, N-terminal		HVO_RS10515	PF01917:Archaebacterial flagellin			Archaeal flagellum,Complete proteome,Glycoprotein,Reference proteome,	COG1681N	arCOG01829	Chromosome
HVO_RS10520	8924200	lcl|NC_013967.1_cds_WP_013035369.1_2229	NC_013967.1	gene	1100738	1101400	+	2251	Gene	protein_coding	HVO_1211	662	flagellin			flgA2	NA	NA	NA	NA	NA	NA	NA	NA: NA	flagellin(HVO_RS10520)	Haloferax volcanii DS2			GO:0009288~bacterial-type flagellum,GO:0097589~archaeal-type flagellum	GO:0005198~structural molecule activity	IPR002774:Flagellin, archaea,IPR013373:Archaeal flagellin, N-terminal		HVO_RS10520	PF01917:Archaebacterial flagellin			Archaeal flagellum,Complete proteome,Glycoprotein,Reference proteome,	COG1681N	arCOG01829	Chromosome
HVO_RS10525	8924872	lcl|NC_013967.1_cds_WP_004043730.1_2230	NC_013967.1	gene	1101720	1102460	-	2252	Gene	protein_coding	HVO_1212	740	circadian clock protein KaiC			cirA	NA	NA	NA	NA	NA	NA	NA	NA: NA	circadian clock protein KaiC(HVO_RS10525)	Haloferax volcanii DS2				GO:0005524~ATP binding	IPR010624:KaiC domain,IPR014774:Circadian clock protein KaiC/DNA repair protein RadA,IPR027417:P-loop containing nucleoside triphosphate hydrolase		HVO_RS10525	PF06745:KaiC			Complete proteome,Reference proteome,	COG0467T	arCOG01171	Chromosome
HVO_RS10530	8925248	lcl|NC_013967.1_cds_WP_004043729.1_2231	NC_013967.1	gene	1102755	1104209	+	2253	Gene	protein_coding	HVO_1213	1454	flagellar protein E			flaCE	NA	NA	NA	NA	NA	NA	NA	NA: NA	flagellar protein E(HVO_RS10530)	Haloferax volcanii DS2							HVO_RS10530,					COG3351N	arCOG02963	Chromosome
HVO_RS10535	8925876	lcl|NC_013967.1_cds_WP_004043728.1_2232	NC_013967.1	gene	1104193	1104630	+	2254	Gene	protein_coding	HVO_1214	437	fla cluster protein FlaF			flaF	NA	NA	NA	NA	NA	NA	NA	NA: NA	fla cluster protein FlaF(HVO_RS10535)	Haloferax volcanii DS2				GO:0005198~structural molecule activity	IPR002774:Flagellin, archaea		HVO_RS10535	PF01917:Archaebacterial flagellin			Complete proteome,Reference proteome,	COG3353N	arCOG01824	Chromosome
HVO_RS10540	8926202	lcl|NC_013967.1_cds_WP_004043727.1_2233	NC_013967.1	gene	1104631	1105080	+	2255	Gene	protein_coding	HVO_1215	449	fla cluster protein FlaG			flaG	NA	NA	NA	NA	NA	NA	NA	NA: NA	fla cluster protein FlaG(HVO_RS10540)	Haloferax volcanii DS2			GO:0016021~integral component of membrane	GO:0005198~structural molecule activity	IPR002774:Flagellin, archaea		HVO_RS10540	PF01917:Archaebacterial flagellin			Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,	COG3354N	arCOG01822	Chromosome
HVO_RS10545	8924566	lcl|NC_013967.1_cds_WP_004043726.1_2234	NC_013967.1	gene	1105077	1105826	+	2256	Gene	protein_coding	HVO_1216	749	ATPase			flaH	NA	NA	NA	NA	NA	NA	NA	NA: NA	ATPase(HVO_RS10545)	Haloferax volcanii DS2					IPR003593:AAA+ ATPase domain,IPR014774:Circadian clock protein KaiC/DNA repair protein RadA,IPR027417:P-loop containing nucleoside triphosphate hydrolase		HVO_RS10545	PF06745:KaiC		SM00382:AAA	Complete proteome,Reference proteome,	COG2874NU	arCOG04148	Chromosome
HVO_RS10550	8924854	lcl|NC_013967.1_cds_WP_004043725.1_2235	NC_013967.1	gene	1105827	1107491	+	2257	Gene	protein_coding	HVO_1217	1664	PF00437:Type II/IV secretion system protein (hypothetical)			flaI	NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS10550)	Haloferax volcanii DS2		GO:0006810~transport	GO:0031514~motile cilium	GO:0005524~ATP binding	IPR001482:Type II secretion system protein E,IPR027417:P-loop containing nucleoside triphosphate hydrolase		HVO_RS10550	PF00437:Type II/IV secretion system protein			Cell projection,Cilium,Complete proteome,Flagellum,Reference proteome,	COG0630NU	arCOG01817	Chromosome
HVO_RS10555	8925498	lcl|NC_013967.1_cds_WP_004043724.1_2236	NC_013967.1	gene	1107496	1109238	+	2258	Gene	protein_coding	HVO_1218	1742	flagellar assembly protein J			flaJ	NA	NA	NA	NA	NA	NA	NA	NA: NA	flagellar assembly protein J(HVO_RS10555)	Haloferax volcanii DS2			GO:0016021~integral component of membrane,GO:0031514~motile cilium		IPR018076:Type II secretion system F domain		HVO_RS10555	PF00482:Type II secretion system (T2SS), protein F			Cell projection,Cilium,Complete proteome,Flagellum,Membrane,Reference proteome,Transmembrane,Transmembrane helix,	COG1955NU	arCOG01809	Chromosome
HVO_RS10560	8924798	lcl|NC_013967.1_cds_WP_013035550.1_2237	NC_013967.1	gene	1109235	1110353	+	2259	Gene	protein_coding	HVO_1219	1118	chemotaxis protein CheF			cheF2	NA	NA	NA	NA	NA	NA	NA	NA: NA	chemotaxis protein CheF(HVO_RS10560)	Haloferax volcanii DS2					IPR007381:Chemotaxis signal transduction system protein F		HVO_RS10560	PF04283:Chemotaxis signal transduction system protein F from archaea			Complete proteome,Reference proteome,	COG2469S	arCOG02394	Chromosome
HVO_RS10565	8926078	lcl|NC_013967.1_cds_WP_004043722.1_2238	NC_013967.1	gene	1110429	1110791	+	2260	Gene	protein_coding	HVO_1220	362	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS10565)	Haloferax volcanii DS2			GO:0016021~integral component of membrane				HVO_RS10565				Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,	-	-	Chromosome
HVO_RS10570	8925015	lcl|NC_013967.1_cds_WP_004043721.1_2239	NC_013967.1	gene	1110849	1111715	-	2261	Gene	protein_coding	HVO_1221	866	hypothetical protein	CheF	Component of chemotaxis system associated with archaellum	cheF1	NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS10570)	Haloferax volcanii DS2					IPR007381:Chemotaxis signal transduction system protein F		HVO_RS10570	PF04283:Chemotaxis signal transduction system protein F from archaea	PIRSF026802:uncharacterized conserved protein		Complete proteome,Reference proteome,	COG2469S	arCOG02394	Chromosome
HVO_RS10575	8924928	lcl|NC_013967.1_cds_WP_004043720.1_2240	NC_013967.1	gene	1111719	1112561	-	2262	Gene	protein_coding	HVO_1222	842	chemotaxis protein CheR			cheR	Environmental Information Processing	Signal transduction	02020 Two-component system 	[PATH:hvo02020]	cheR; protein-glutamate O-methyltransferase CheR	K00575	cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	K00575: cheR; protein-glutamate O-methyltransferase CheR	chemotaxis protein CheR(HVO_RS10575)	Haloferax volcanii DS2	2.1.1.80			GO:0008983~protein-glutamate O-methyltransferase activity	IPR000780:MCP methyltransferase, CheR-type,IPR022641:MCP methyltransferase, CheR-type, all-alpha domain, N-terminal,IPR022642:MCP methyltransferase, CheR-type, SAM-binding domain, C-terminal	hvo02020:Two-component system,hvo02030:Bacterial chemotaxis	HVO_RS10575	PF01739:CheR methyltransferase, SAM binding domain,PF03705:CheR methyltransferase, all-alpha domain		SM00138:MeTrc	Complete proteome,Methyltransferase,Reference proteome,Transferase,	COG1352NT	arCOG04402	Chromosome
HVO_RS10580	8926552	lcl|NC_013967.1_cds_WP_004043719.1_2241	NC_013967.1	gene	1112561	1114831	-	2263	Gene	protein_coding	HVO_1223	2270	chemotaxis protein			cheA	Environmental Information Processing	Signal transduction	02020 Two-component system 	[PATH:hvo02020]	cheA; taxis sensor histidine kinase CheA	K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407: cheA; taxis sensor histidine kinase CheA	chemotaxis protein(HVO_RS10580)	Haloferax volcanii DS2	2.7.13.3	GO:0006935~chemotaxis	GO:0005737~cytoplasm	GO:0000155~phosphorelay sensor kinase activity	IPR002545:CheW-like protein,IPR003594:Histidine kinase-like ATPase, ATP-binding domain,IPR003661:Signal transduction histidine kinase, subgroup 1, dimerisation/phosphoacceptor domain,IPR004105:Signal transduction histidine kinase, subgroup, homodimeric,IPR004358:Signal transduction histidine kinase-related protein, C-terminal,IPR005467:Signal transduction histidine kinase, core,IPR008207:Signal transduction histidine kinase, phosphotransfer (Hpt) domain,IPR010808:Signal transduction histidine kinase, P2 response regulator-binding	hvo02020:Two-component system,hvo02030:Bacterial chemotaxis	HVO_RS10580	PF01584:CheW-like domain,PF01627:Hpt domain,PF02518:Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase,PF02895:Signal transducing histidine kinase, homodimeric domain,PF07194:P2 response regulator binding domain		SM00073:HPT,SM00260:CheW,SM00387:HATPase_c,SM01231:SM01231	Complete proteome,Kinase,Reference proteome,Transferase,	COG0643NT	arCOG04403	Chromosome
HVO_RS10585	8925926	lcl|NC_013967.1_cds_WP_049914875.1_2242	NC_013967.1	gene	1114834	1115943	-	2264	Gene	protein_coding	HVO_1224	1109	chemotaxis response regulator protein-glutamate methylesterase			cheB	Environmental Information Processing	Signal transduction	02020 Two-component system 	[PATH:hvo02020]	cheB; protein-glutamate methylesterase CheB	K03412	cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]	K03412: cheB; protein-glutamate methylesterase CheB	chemotaxis response regulator protein-glutamate methylesterase(HVO_RS10585)	Haloferax volcanii DS2						hvo02020:Two-component system,hvo02030:Bacterial chemotaxis	HVO_RS10585,					COG2201NT	arCOG02382	Chromosome
HVO_RS10590	8925324	lcl|NC_013967.1_cds_WP_006600388.1_2243	NC_013967.1	gene	1116184	1116657	+	2265	Gene	protein_coding	HVO_1225	473	purine-binding chemotaxis protein CheW			cheW1	Environmental Information Processing	Signal transduction	02020 Two-component system 	[PATH:hvo02020]	cheW1; purine-binding taxis protein CheW	K03408	cheW; purine-binding chemotaxis protein CheW	K03408: cheW1; purine-binding taxis protein CheW	purine-binding chemotaxis protein CheW(HVO_RS10590)	Haloferax volcanii DS2						hvo02020:Two-component system,hvo02030:Bacterial chemotaxis	HVO_RS10590,					COG0835NT	arCOG02395	Chromosome
HVO_RS10595	8923905	lcl|NC_013967.1_cds_WP_004043716.1_2244	NC_013967.1	gene	1116697	1117185	-	2266	Gene	protein_coding	HVO_1226	488	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS10595)	Haloferax volcanii DS2		GO:0008643~carbohydrate transport	GO:0016021~integral component of membrane		IPR020846:Major facilitator superfamily domain		HVO_RS10595				Complete proteome,Membrane,Reference proteome,Sugar transport,Transmembrane,Transmembrane helix,Transport,	-	arCOG00131	Chromosome
HVO_RS10600	8925518	lcl|NC_013967.1_cds_WP_004043715.1_2245	NC_013967.1	gene	1117313	1118905	+	2267	Gene	protein_coding	HVO_1227	1592	xanthine permease			uraA1	NA	NA	NA	NA	NA	NA	NA	NA: NA	xanthine permease(HVO_RS10600)	Haloferax volcanii DS2		GO:0055085~transmembrane transport	GO:0016021~integral component of membrane	GO:0005215~transporter activity	IPR006043:Xanthine/uracil/vitamin C permease		HVO_RS10600	PF00860:Permease family			Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,	COG2233F	arCOG02805	Chromosome
HVO_RS10605	8926124	lcl|NC_013967.1_cds_WP_013035267.1_2246	NC_013967.1	gene	1118978	1121443	+	2268	Gene	protein_coding	HVO_1228	2465	cytochrome Fbr			hcpE	NA	NA	NA	NA	NA	NA	NA	NA: NA	cytochrome Fbr(HVO_RS10605)	Haloferax volcanii DS2				GO:0005507~copper ion binding,GO:0009055~electron carrier activity	IPR000923:Blue (type 1) copper domain,IPR006311:Twin-arginine translocation pathway, signal sequence,IPR008972:Cupredoxin		HVO_RS10605	PF00127:Copper binding proteins, plastocyanin/azurin family			Complete proteome,Reference proteome,	COG3794C	arCOG02919	Chromosome
HVO_RS10610	8924918	lcl|NC_013967.1_cds_2247	NC_013967.1	gene	1121664	1122844	-	2269	Gene	pseudogene	HVO_1230	1180	mechanosensitive ion channel protein MscS				NA	NA	NA	NA	NA	NA	NA	NA: NA	pseudo(HVO_RS10610)	Haloferax volcanii DS2							HVO_RS10610,					COG3264M	arCOG01568	Chromosome
HVO_RS10615	8924444	lcl|NC_013967.1_cds_WP_004043711.1_2248	NC_013967.1	gene	1122941	1123435	+	2270	Gene	protein_coding	HVO_1231	494	metal-dependent hydrolase				NA	NA	NA	NA	NA	NA	NA	NA: NA	metal-dependent hydrolase(HVO_RS10615)	Haloferax volcanii DS2			GO:0016021~integral component of membrane	GO:0016787~hydrolase activity	IPR007404:Protein of unknown function DUF457		HVO_RS10615	PF04307:Predicted membrane-bound metal-dependent hydrolase (DUF457)			Complete proteome,Hydrolase,Membrane,Reference proteome,Transmembrane,Transmembrane helix,	-	arCOG01744	Chromosome
